CRASH DATETIME,DAY OF WEEK CODE,DAY OF WEEK DESCRIPTION,CRASH CLASSIFICATION CODE,CRASH CLASSIFICATION DESCRIPTION,COLLISION ON PRIVATE PROPERTY,PEDESTRIAN INVOLVED,MANNER OF IMPACT CODE,MANNER OF IMPACT DESCRIPTION,ALCOHOL INVOLVED,DRUG INVOLVED,ROAD SURFACE CODE,ROAD SURFACE DESCRIPTION,LIGHTING CONDITION CODE,LIGHTING CONDITION DESCRIPTION,WEATHER 1 CODE,WEATHER 1 DESCRIPTION,WEATHER 2 CODE,WEATHER 2 DESCRIPTION,SEATBELT USED,MOTORCYCLE INVOLVED,MOTORCYCLE HELMET USED,BICYCLED INVOLVED,BICYCLE HELMET USED,LATITUDE,LONGITUDE,PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,SCHOOL BUS INVOLVED CODE,SCHOOL BUS INVOLVED DESCRIPTION,WORK ZONE,WORK ZONE LOCATION CODE,WORK ZONE LOCATION DESCRIPTION,WORK ZONE TYPE CODE,WORK ZONE TYPE DESCRIPTION,WORKERS PRESENT,the_geom,COUNTY CODE,COUNTY NAME,YEAR
2011 Jun 12 04:00:00 AM,1,Sunday,2,Property Damage Only,N,N,2,Front to front,N,N,2,Wet,5,Dark-Not Lighted,4,Rain,,,Y,N,N,N,N,39.64501,-75.64978,12,Driving in a careless or reckless manner,0,No,N,,,,,N,POINT (-75.649779999792 39.645009999974),N,New Castle,2011
2009 Nov 20 12:19:00 AM,5,Thursday,2,Property Damage Only,N,N,1,Front to rear,N,N,2,Wet,4,Dark-Lighted,99,Unknown,4,Rain,Y,N,N,N,N,39.647796,-75.7468639,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.746863899682 39.647796000266),N,New Castle,2009
2011 Jan 26 02:30:00 PM,4,Wednesday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,7,Slush,1,Daylight,5,"Sleet, Hail (freezing rain or drizzle)",,,Y,N,N,N,N,39.44886,-75.67269,19,"Other environmental circumstances - weather, glare",0,No,N,,,,,N,POINT (-75.672690000384 39.448859999714),N,New Castle,2011
2015 Feb 02 01:17:00 AM,1,Sunday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,4,Dark-Lighted,1,Clear,,,Y,N,N,N,N,39.51123,-75.71159,8,Following too close,0,No,N,,,,,N,POINT (-75.711589999559 39.511229999746),N,New Castle,2015
2009 Sep 14 11:28:00 AM,2,Monday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.7297698,-75.5844015,,,0,No,N,,,,,N,POINT (-75.584401500051 39.729769800221),N,New Castle,2009
2015 Jun 05 08:58:00 PM,6,Friday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.67896,-75.65724,8,Following too close,0,No,N,,,,,N,POINT (-75.65723999978 39.678960000333),N,New Castle,2015
2011 Dec 21 09:51:00 PM,4,Wednesday,2,Property Damage Only,N,N,1,Front to rear,N,N,2,Wet,4,Dark-Lighted,4,Rain,,,Y,N,N,N,N,39.60803,-75.71558,8,Following too close,0,No,N,,,,,N,POINT (-75.715579999844 39.608029999785),N,New Castle,2011
2014 Nov 26 02:54:00 AM,3,Tuesday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,5,Dark-Not Lighted,1,Clear,,,Y,N,N,N,N,39.69494,-75.62091,2,Failed to yield right of way,0,No,Y,3,Transition Area,88,Other,2,POINT (-75.620909999785 39.694939999952),N,New Castle,2014
2009 Dec 12 06:07:00 AM,7,Saturday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,4,Dark-Lighted,1,Clear,,,Y,N,N,N,N,39.6912343,-75.7494865,,,0,No,N,,,,,N,POINT (-75.749486499713 39.691234299875),N,New Castle,2009
2015 Apr 14 06:35:00 PM,3,Tuesday,2,Property Damage Only,N,N,3,Angle,N,N,2,Wet,1,Daylight,4,Rain,,,Y,N,N,N,N,38.96848,-75.4331,2,Failed to yield right of way,0,No,N,,,,,N,POINT (-75.433100000377 38.968480000129),K,Kent,2015
