Document Nbr,Crash Date,Crash Year,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Roadway Alignment,Roadway Description,Intersection Type,RTE Name,SYSTEM,Node,RNS MP,x,y,Physical Juris Name,Pedestrian?,Bike?,Alcohol?,Speed?,Hitrun?,Motorcycle?,Night?,Distracted?,Drowsy?,Drug Related?,Young?,Senior?,Unrestrained?,School Zone,Work Zone Related,Traffic Control Type,Traffic Control Status,Functional Class,Area Type,Facility Type,Ownership,First Harmful Event,First Harmful Event Loc,Persons Injured,Pedestrians Killed,Pedestrians Injured,_source_state,_co_system_code,_co_agency_id,_co_rd_number,_co_location1,_co_location2,_co_city,_source_file
1263568,1/2/2025,2025,1306,O,0,0,0,0,Rear End,Clear,Daylight,Dry,"Curve Left, Downhill",Intersection Related,Intersection,KENDRICK CASTILLO WY,NonVDOT secondary,KENDRICK CASTILLO WY & W BURGUNDY ST,,-104.994528,39.541889,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,County Road,DSO,4700,KENDRICK CASTILLO WY,W BURGUNDY ST,,crashlens_u5p9stw5.csv
1266282,1/2/2025,2025,1508,O,0,0,0,0,Sideswipe - Same Direction,Clear,Daylight,Dry,Curve Right,Ramp,Ramp,I-25,Interstate,,194.288,-104.870233,39.555031,DOUGLAS,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,Side to Side-Same Direction,On Roadway,0,,,colorado,Interstate Highway,LNTRPD,025A,I-25 NB OFF RAMP TO COUNTY LINE RD,OFF RAMP GORE PT,LONE TREE,crashlens_u5p9stw5.csv
1264489,1/2/2025,2025,1744,O,0,0,0,0,Angle,Clear,Dawn or Dusk,Dry,Straight/Level,At Intersection,Intersection,RIDGEGATE PKWY,NonVDOT secondary,CROSSINGTON WY & RIDGEGATE PKWY,,-104.872542,39.527148,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,Front to Side,On Roadway,0,,,colorado,City Street,LNTRPD,0817,RIDGEGATE PKWY,CROSSINGTON WY,LONE TREE,crashlens_u5p9stw5.csv
1260353,1/2/2025,2025,1950,O,0,0,0,0,Other Animal,Clear,Dark – Unlighted,Dry,Straight/Level,Non-Intersection,Non-Intersection,S PINERY DR,NonVDOT secondary,,,-104.748529,39.439746,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Wild Animal,On Roadway,0,,,colorado,County Road,DSO,4700,S PINERY DR,MEADOW VIEW LN,,crashlens_u5p9stw5.csv
1260829,1/2/2025,2025,2106,B,0,0,2,0,Non-Collision,Clear,Dark – Unlighted,Dry,Downhill,Non-Intersection,Non-Intersection,E PLUM CREEK PKWY,NonVDOT secondary,,,-104.841016,39.357972,DOUGLAS,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,Overturning/Rollover,On Roadway,2,,,colorado,City Street,CRPD,0185,E PLUM CREEK PKWY,S GILBERT ST,CASTLE ROCK,crashlens_u5p9stw5.csv
1260376,1/3/2025,2025,0009,O,0,0,0,0,Angle,Clear,Dark – Lighted,Dry,Straight/Level,At Intersection,Intersection,E WILDCAT RESERVE PKWY,NonVDOT secondary,E WILDCAT RESERVE PKWY & MCARTHUR RANCH RD,,-104.94105,39.52748,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,,Front to Side,On Roadway,0,,,colorado,County Road,DSO,4700,E WILDCAT RESERVE PKWY,MCARTHUR RANCH RD,,crashlens_u5p9stw5.csv
1268620,1/3/2025,2025,0306,O,0,0,0,0,Fixed Object - Off Road,Clear,Dark – Lighted,Dry,"Curve Right, Downhill",Non-Intersection,Non-Intersection,4120 E MAIN ST,NonVDOT secondary,,,-104.80939,39.51595,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Curb,Ran off left side,0,,,colorado,City Street,PPD,1038,4120 E MAIN ST,S NEWLIN GULCH BLVD,PARKER,crashlens_u5p9stw5.csv
1269387,1/3/2025,2025,1224,O,0,0,0,0,Angle,Clear,Daylight,Dry,Straight/Level,Driveway Access Related,Driveway,S PARKER RD,Primary,,59.776,-104.76469,39.51718,DOUGLAS,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,,,,,,,Front to Side,On Roadway,0,,,colorado,State Highway,PPD,083A,S PARKER RD,E MAINSTREET,PARKER,crashlens_u5p9stw5.csv
1266302,1/3/2025,2025,1321,O,0,0,0,0,Rear End,Clear,Daylight,Dry,Uphill,At Intersection,Intersection,RIDGEGATE PKWY,NonVDOT secondary,HIGH NOTE AVE & RIDGEGATE PKWY,,-104.84393,39.518179,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,City Street,LNTRPD,0817,RIDGEGATE PKWY,HIGH NOTE AVE,LONE TREE,crashlens_u5p9stw5.csv
1260464,1/3/2025,2025,1444,B,0,0,3,0,Angle,Clear,Daylight,Dry,Straight/Level,At Intersection,Intersection,E HIGHLANDS RANCH PKWY,NonVDOT secondary,E HIGHLANDS RANCH PKWY & S UNIVERSITY BLVD,,-104.94467,39.54497,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,Front to Side,On Roadway,3,,,colorado,County Road,DSO,4700,E HIGHLANDS RANCH PKWY,S UNIVERSITY BLVD,,crashlens_u5p9stw5.csv
