CUID,System Code,Rd_Number,Rd_Section,City_Street,Crash Date,Crash Time,Agency Id,City,County,Latitude,Longitude,Location 1,Link,Location 2,Location,Road Description,First HE,Second HE,Third HE,Fourth HE,MHE,Crash Type,Approach Overtaking Turn,Wild Animal,Number Killed,Number Injured,Injury 00,Injury 01,Injury 02,Injury 03,Injury 04,Total Vehicles,Secondary Crash,Construction Zone,School Zone,Road Contour Curves,Road Contour Grade,Road Condition,Lighting Conditions,Weather Condition,Weather Condition 2,Lane Position,TU-1 Direction,TU-2 Direction,TU-1 Movement,TU-2 Movement,TU-1 Type,TU-2 Type,TU-1 Special Function,TU-2 Special Function,TU-1 Autonomous Vehicle,TU-2 Autonomous Vehicle,TU-1 Hit And Run,TU-2 Hit And Run,TU-1 Speed Limit,TU-2 Speed Limit,TU-1 Estimated Speed,TU-2 Estimated Speed,TU-1 Speed,TU-2 Speed,TU-1 Driver Action,TU-2 Driver Action,TU-1 Human Contributing Factor,TU-2 Human Contributing Factor,TU-1 Age,TU-2 Age,TU-1 Sex ,TU-2 Sex,TU-1 Safety System Available ,TU-2 Safety System Available ,TU-1 Safety restraint Use,TU-2 Safety restraint Use,TU-1 Safety Helmet,TU-2  Safety Helmet,TU-1 Alcohol Suspected,TU-2 Alcohol Suspected,TU-1  Marijuana Suspected,TU-2 Marijuana Suspected,TU-1 Other Drugs Suspected ,TU-2 Other Drugs Suspected ,TU-1 NM Direction,TU-2 NM Direction,TU-1 NM Movement,TU-2 NM Movement,TU-1 NM Facility Available,TU-2 NM Facility Available,TU-1 NM Location ,TU-2 NM Location ,TU-1 NM Type,TU-2 NM Type,TU-1 NM Age ,TU-2 NM Age ,TU-1 NM Sex ,TU-2 NM Sex ,TU-1 NM Action ,TU-2 NM Action ,TU-1 NM Human Contributing Factor ,TU-2 NM Human Contributing Factor ,TU-1 NM Safety Helmet ,TU-2 NM Safety Helmet ,TU-1 NM Alcohol Suspected ,TU-2 NM Alcohol Suspected ,TU-1 NM Marijuana Suspected ,TU-2 NM Marijuana Suspected ,TU-1 NM Other Drugs Suspected ,TU-2 NM Other Drugs Suspected ,Record Status,Processing Status,Last Updated
296957,County Road,4700,QUEBE,PARKM,1/21/2023,12:02:00,DSO,,DOUGLAS,39.56068,-104.90431,S QUEBEC ST,SO,PARK MEADOWS DR,On Roadway,Non-Intersection,Side to Side-Same Direction,,,,Side to Side-Same Direction,Sideswipe Same Direction,Not Applicable,,0,0,3,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Uphill,Wet,Daylight,Snow,,N03,North,North,Changing Lanes,Going Straight,SUV,SUV,No Special Function,No Special Function,No Automation,No Automation,TRUE,FALSE,40,40,40,35,0,35,Lane Violation,No Contributing Action,Looked/Did Not See,No Apparent Contributing Factor,52,51,M,F,,,,,,,No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Sep 26 2023  7:54PM
320303,City Street,1038,DRANS,LINCO,1/21/2023,12:39:00,PPD,PARKER,DOUGLAS,39.53334,-104.77161,S DRANSFELDT RD ,AT,E LINCOLN MEADOWS PKWY,On Roadway,Intersection Related,Front to Side,Curb,,,Front to Side,Broadside,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Wet,Daylight,Snow,,,West,South,Going Straight,Going Straight,Passenger Car/Passenger Van,Passenger Car/Passenger Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,35,35,10,35,10,35,Failed to Yield ROW,No Contributing Action,Looked/Did Not See,No Apparent Contributing Factor,40,38,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Feb 16 2023  7:16AM
320215,City Street,0817,YOSEM,FAIRV,1/21/2023,16:45:00,LNTRPD,LONE TREE,DOUGLAS,39.54175,-104.88561,S YOSEMITE ST,00200FN,FAIRVIEW DR,On Roadway,Intersection Related,Front to Rear,,,,Front to Rear,Rear-End,Not Applicable,,0,0,3,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Snowy,Dawn or Dusk,Snow,,N01,North,North,Going Straight,Going Straight,Passenger Car/Passenger Van,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,40,40,40,15,40,15,Careless Driving ,No Contributing Action,Other Factor (Describe in Narrative),No Apparent Contributing Factor,50,78,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),Yes - Preliminary Breath Test,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,May 16 2023  9:14PM
317478,City Street,1038,MAINS,MOTSE,1/21/2023,17:30:00,PPD,PARKER,DOUGLAS,39.51741,-104.78606,E MAINSTREET ST,AT,S MOTSENBOCKER RD ,Ran off right side,Intersection Related,Sign,,,,Sign,Sign,Not Applicable,,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Level,Icy,Dark – Lighted,Snow,,E02,East,,Going Straight,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,45,0,15,0,10,0,No Contributing Action,,No Apparent Contributing Factor,,16,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,May 16 2023  4:44PM
320234,City Street,0817,LINCO,COMMO,1/21/2023,17:45:00,LNTRPD,LONE TREE,DOUGLAS,39.53639,-104.88214,LINCOLN AVE,AT,COMMONS ST ,On Roadway,At Intersection,Front to Side,,,,Front to Side,Approach Turn,Approach Turn,,0,0,4,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Downhill,Wet,Dawn or Dusk,Rain,,W01,West,East,Making Left Turn,Going Straight,Passenger Car/Passenger Van,Pickup Truck/Utility Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,40,40,10,40,15,42,Failed to Yield ROW,Impeded Traffic,Looked/Did Not See,No Apparent Contributing Factor,30,42,F,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Sep 25 2023  3:23PM
320264,City Street,1038,TWENT,LINCO,1/21/2023,18:18:00,PPD,PARKER,DOUGLAS,39.53679,-104.77461,S TWENTY MILE RD,AT,E LINCOLN AVE,On Roadway,At Intersection,Front to Side,,,,Front to Side,Broadside,Not Applicable,,0,0,3,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Icy,Dark – Lighted,Snow,,W02,West,North,Going Straight,Going Straight,Passenger Car/Passenger Van,Passenger Car/Passenger Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,40,35,35,10,30,5,Failed to Stop at Signal,No Contributing Action,Distracted - Other Interior,No Apparent Contributing Factor,16,61,F,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Feb 16 2023  7:16AM
323799,City Street,1038,SANDR,TUMBL,1/21/2023,18:54:00,PPD,PARKER,DOUGLAS,39.56536,-104.7993,S SANDREED CIR,00200FE,TUMBLEGRASS PL,Ran off right side,Non-Intersection,Fence,,,,Fence,Fence,Not Applicable,,0,0,2,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Right,Level,Icy,Dark – Unlighted,Snow,,W01,West,,Negotiating a Curve,,Passenger Car/Passenger Van,,No Special Function,,No Automation,,FALSE,FALSE,25,0,25,0,25,0,Too Fast for Conditions,,Not Observed,,30,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,May 15 2023  8:57PM
320299,State Highway,083A,62.830,,1/21/2023,19:41:00,PPD,PARKER,DOUGLAS,39.5624,-104.78264,S PARKER RD,AT,E VALLEY HI DR ,On Roadway,At Intersection,Front to Front,,,,Front to Front,Broadside,Not Applicable,,0,0,3,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,,Dark – Lighted,,,S02,East,South,Making Left Turn,Going Straight,SUV,Passenger Car/Passenger Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,45,45,10,45,10,45,Failed to Yield ROW,No Contributing Action,Looked/Did Not See,No Apparent Contributing Factor,53,21,F,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Sep 22 2023  3:33PM
298383,Interstate Highway,025A,189.000,,1/21/2023,19:42:00,CSP,,DOUGLAS,39.47968,-104.87242,I-25,NEAR,MM 189,Center median/ Island,Non-Intersection,Concrete Highway Barrier,Front to Side,Concrete Highway Barrier,,Concrete Highway Barrier,Concrete Highway Barrier,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Snowy,Dark – Unlighted,Snow,,NLS,North,North,Out of Control,Going Straight,Passenger Car/Passenger Van,"Medium/Heavy Trucks, GVWR/GCWR 16,001 or over",No Special Function,No Special Function,Unknown,Unknown,FALSE,FALSE,75,75,75,65,0,0,Careless Driving ,No Contributing Action,Other Factor (Describe in Narrative),No Apparent Contributing Factor,50,45,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Sep 20 2023  3:14PM
297205,State Highway,086B,100.382,,1/21/2023,19:55:00,CRPD,CASTLE ROCK,DOUGLAS,39.41099,-104.86232,FOUNDERS PKWY,AT,FRONT ST,Ran off right side,At Intersection,Light Pole/Utility Pole,,,,Light Pole/Utility Pole,Light Pole/Utility Pole,Not Applicable,,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Level,Snowy,Dark – Lighted,Snow,Freezing Rain or Freezing Drizzle,W03,East,,Making Left Turn,,Passenger Car/Passenger Van,,No Special Function,,No Automation,,FALSE,FALSE,35,0,25,0,25,0,Careless Driving ,,,,25,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Sep 20 2023  7:42PM
299728,Interstate Highway,025A,194.318,G,1/21/2023,20:39:00,CSP,LONE TREE,DOUGLAS,39.55563,-104.87034,C-470 EB FLYOVER,TO,I-25 NB ON RAMP,Ran off left side,Ramp,Concrete Highway Barrier,,,,Concrete Highway Barrier,Concrete Highway Barrier,Not Applicable,,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Left,Level,Icy,Dark – Unlighted,Snow,,N02,North,,Negotiating a Curve,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,65,0,50,0,50,0,Too Fast for Conditions,,Age/Driver Ability,,22,,F,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Sep 27 2023  7:32PM
301149,Interstate Highway,025A,194.275,G,1/21/2023,21:11:00,LNTRPD,LONE TREE,DOUGLAS,39.555,-104.87,I-25 FLYOVER RAMP,EO,RAMP SPLIT FROM C-470 EB OFF RAMP,On Roadway,Ramp,Front to Rear,,,,Front to Rear,Rear-End,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Curve Right,Uphill,Icy,Dark – Lighted,Snow,,NRS,North,North,Negotiating a Curve,Negotiating a Curve,SUV,Passenger Car/Passenger Van,No Special Function,No Special Function,Unknown,Unknown,FALSE,FALSE,65,65,35,35,45,30,Too Fast for Conditions,Too Fast for Conditions,No Apparent Contributing Factor,No Apparent Contributing Factor,43,31,F,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Sep  5 2024 12:09AM
298323,State Highway,086A,11.000,,1/21/2023,21:40:00,CSP,,DOUGLAS,39.37085,-104.68122,HWY 86,AT,MM 11,Ran off left side,Non-Intersection,Overturning/Rollover,,,,Overturning/Rollover,Overturning/Rollover,Not Applicable,,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Right,Uphill,Snowy,Dark – Unlighted,Cloudy,,ELS,East,,Out of Control,,Pickup Truck/Utility Van,,No Special Function,,Unknown,,FALSE,FALSE,55,0,45,0,45,0,Careless Driving ,,Other Factor (Describe in Narrative),,47,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Sep 25 2023  6:10PM
296944,County Road,4700,WEEPI,CREST,1/22/2023,01:20:00,DSO,,DOUGLAS,39.54813,-104.92848,WEEPING WILLOW CIR,EO,CRESTHILL LN,On Roadway,Non-Intersection,Parked Motor Vehicle,,,,Parked Motor Vehicle,Parked Motor Vehicle,Not Applicable,,0,0,1,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Wet,Daylight,Clear,,W01,West,West,Entering/Leaving Parked Position,Parked,Pickup Truck/Utility Van,Passenger Car/Passenger Van,Rental Truck,No Special Function,No Automation,No Automation,FALSE,FALSE,25,25,5,0,5,0,Careless Driving ,,Other Factor (Describe in Narrative),,49,,F,,,,,,,,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Sep 27 2023  2:07PM
317491,City Street,0817,LINCO,FIRST,1/22/2023,08:52:00,LNTRPD,LONE TREE,DOUGLAS,39.53628,-104.83286,LINCOLN AVE,00400FW,FIRST ST,On Roadway,Non-Intersection,Wild Animal,,,,Wild Animal,Wild Animal,Not Applicable,ANTELOPE,0,0,3,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Downhill,Dry,Daylight,Clear,,E01,East,,Going Straight,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,45,0,45,0,40,0,No Contributing Action,,No Apparent Contributing Factor,,29,,M,,Child Restraint – Forward Facing,,Properly Used,,N/A (Cars/Trucks),,No - Preliminary Breath Test,,Marijuana Not Suspected,,No - Drug Recognition Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Sep 25 2023  3:24PM
320217,City Street,0817,YOSEM,TROON,1/22/2023,14:56:00,LNTRPD,LONE TREE,DOUGLAS,39.53904,-104.88564,S YOSEMITE ST,AT,TROON VILLAGE DR,On Roadway,At Intersection,Front to Front,,,,Front to Front,Approach Turn,Approach Turn,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,,N01,North,South,Making U-Turn,Going Straight,Passenger Car/Passenger Van,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,40,40,10,40,0,0,Failed to Yield ROW,No Contributing Action,Looked/Did Not See,No Apparent Contributing Factor,50,48,M,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Sep 25 2023  3:55PM
