Document Nbr,Crash Date,Crash Year,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Roadway Alignment,Roadway Description,Intersection Type,RTE Name,SYSTEM,Node,RNS MP,x,y,Physical Juris Name,Pedestrian?,Bike?,Alcohol?,Speed?,Hitrun?,Motorcycle?,Night?,Distracted?,Drowsy?,Drug Related?,Young?,Senior?,Unrestrained?,School Zone,Work Zone Related,Traffic Control Type,Traffic Control Status,Functional Class,Area Type,Facility Type,Ownership,First Harmful Event,First Harmful Event Loc,Relation To Roadway,Vehicle Count,Persons Injured,Pedestrians Killed,Pedestrians Injured,_source_state,_co_system_code,_co_agency_id,_co_rd_number,_co_location1,_co_location2,_co_city,_source_file,_co_total_vehicles,_co_mhe,_co_crash_type,_co_link,_co_second_he,_co_third_he,_co_wild_animal,_co_secondary_crash,_co_weather2,_co_lane_position,_co_injury00_uninjured,_co_tu1_direction,_co_tu1_movement,_co_tu1_vehicle_type,_co_tu1_speed_limit,_co_tu1_estimated_speed,_co_tu1_stated_speed,_co_tu1_driver_action,_co_tu1_human_factor,_co_tu1_age,_co_tu1_sex,_co_tu2_direction,_co_tu2_movement,_co_tu2_vehicle_type,_co_tu2_speed_limit,_co_tu2_estimated_speed,_co_tu2_stated_speed,_co_tu2_driver_action,_co_tu2_human_factor,_co_tu2_age,_co_tu2_sex,_co_nm1_type,_co_nm1_age,_co_nm1_sex,_co_nm1_action,_co_nm1_movement,_co_nm1_location,_co_nm1_facility,_co_nm1_contributing_factor,_co_nm2_type,_co_nm2_age,_co_nm2_sex,_co_nm2_action,_co_nm2_movement,_co_nm2_location,_co_nm2_facility,_co_nm2_contributing_factor
1268364,1/4/2025,2025,0550,O,0,0,0,0,1. Rear End,3. Fog/Smog/Smoke,5. Darkness - Road Not Lighted,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",1. Not at Intersection,PINE DR,NonVDOT secondary,,,-104.755568,39.554916,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,0,0,0,colorado,County Road,DSO,4700,PINE DR,INSPIRATION DR,,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,0.25MN,,,,FALSE,,N01,2,South,Going Straight,SUV,40,30,0,Careless Driving,,36,F,South,Going Straight,Passenger Car/Passenger Van,40,20,20,No Contributing Action,No Apparent Contributing Factor,24,F,,,,,,,,,,,,,,,,
1269510,1/4/2025,2025,0550,O,0,0,0,0,1. Rear End,3. Fog/Smog/Smoke,5. Darkness - Road Not Lighted,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",1. Not at Intersection,PINE DR,NonVDOT secondary,,,-104.7558,39.55005,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,0,0,0,colorado,County Road,DSO,4700,PINE DR,INSPIRATION DR,,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,0.25MS,Ditch,,,FALSE,,N01,2,South,Going Straight,SUV,40,30,0,Careless Driving,,36,F,South,Going Straight,Passenger Car/Passenger Van,40,20,20,No Contributing Action,No Apparent Contributing Factor,24,F,,,,,,,,,,,,,,,,
1259937,1/4/2025,2025,1721,B,0,0,1,0,4. Sideswipe - Same Direction,3. Fog/Smog/Smoke,4. Darkness - Road Lighted,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",4. Four Approaches,S QUEBEC ST,NonVDOT secondary,E LINCOLN AVE & S QUEBEC ST,,-104.913075,39.542382,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,10. Intersection Related - Within 150 Feet,2,1,0,0,colorado,County Road,DSO,4700,S QUEBEC ST,E LINCOLN AVE,,crashlens_u5p9stw5.csv,2,Front to Side,Sideswipe Same Direction,00132FNE,,,,FALSE,,S02,2,Southwest,Changing Lanes,Passenger Car/Passenger Van,45,20,20,Lane Violation,Looked/Did Not See,39,M,Southwest,Going Straight,SUV,45,20,20,No Contributing Action,No Apparent Contributing Factor,51,F,,,,,,,,,,,,,,,,
1260350,1/4/2025,2025,2100,O,0,0,0,0,9. Fixed Object - Off Road,3. Fog/Smog/Smoke,5. Darkness - Road Not Lighted,5. Ice,4. Grade - Curve,"1. Two-Way, Not Divided",1. Not at Intersection,HWY 67,NonVDOT secondary,,,-105.105216,39.372022,DOUGLAS,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,2. Trees,4. Roadside,8. Non-Intersection,1,0,0,0,colorado,County Road,DSO,4700,HWY 67,N RAMPART RANGE RD,,crashlens_u5p9stw5.csv,1,Tree,Tree,1.00MSW,,,,FALSE,Wind,E01,1,East,Negotiating a Curve,Pickup Truck/Utility Van,30,20,20,Too Fast for Conditions,No Apparent Contributing Factor,35,M,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
1260365,1/5/2025,2025,0636,O,0,0,0,0,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),1. Dawn,5. Ice,3. Grade - Straight,"1. Two-Way, Not Divided",4. Four Approaches,S WILLOW CREEK ST,NonVDOT secondary,PRAIRIE RIDGE RD & S WILLOW CREEK ST,,-104.97882,39.56125,DOUGLAS,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,3. Utility Pole,4. Roadside,9. Within Intersection,1,0,0,0,colorado,County Road,DSO,4700,S WILLOW CREEK ST,PRAIRIE RIDGE RD,,crashlens_u5p9stw5.csv,1,Traffic Signal Pole,Traffic Signal Pole,AT,,,,FALSE,,S01,0,South,Going Straight,Unknown,25,10,0,Too Fast for Conditions,Not Observed,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
1260001,1/5/2025,2025,0947,O,0,0,0,0,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",4. Four Approaches,E WILDCAT RESERVE PKWY,NonVDOT secondary,E WILDCAT RESERVE PKWY & S UNIVERSITY BLVD,,-104.935386,39.542512,DOUGLAS,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,,,,,2. County Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,10. Intersection Related - Within 150 Feet,2,0,0,0,colorado,County Road,DSO,4700,E WILDCAT RESERVE PKWY,S UNIVERSITY BLVD,,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,00020FS,,,,FALSE,,N04,2,North,Going Straight,SUV,45,10,10,Followed Too Closely,Looked/Did Not See,19,F,North,Slowing,SUV,45,0,0,No Contributing Action,No Apparent Contributing Factor,65,M,,,,,,,,,,,,,,,,
1262135,1/5/2025,2025,2005,B,0,0,1,0,2. Angle,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",4. Four Approaches,E HIGHLANDS RANCH PKWY,NonVDOT secondary,E HIGHLANDS RANCH PKWY & S BROADWAY,,-104.99171,39.54929,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,2. County Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,9. Within Intersection,3,1,0,0,colorado,County Road,DSO,4700,E HIGHLANDS RANCH PKWY,S BROADWAY,,crashlens_u5p9stw5.csv,3,Light Pole/Utility Pole,Overtaking Turn,AT,Side to Side-Same Direction,Curb,,FALSE,,S03,5,South,Making Left Turn,Passenger Car/Passenger Van,45,10,0,Turned from Wrong Lane or Position,Looked/Did Not See,38,M,South,Going Straight,SUV,45,20,20,No Contributing Action,No Apparent Contributing Factor,17,M,,,,,,,,,,,,,,,,
1260345,1/6/2025,2025,0730,O,0,0,0,0,9. Fixed Object - Off Road,3. Fog/Smog/Smoke,5. Darkness - Road Not Lighted,1. Dry,4. Grade - Curve,"1. Two-Way, Not Divided",1. Not at Intersection,FERVID ST,NonVDOT secondary,,,-104.82299,39.42586,DOUGLAS,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,2. County Hwy Agency,27. Curb,4. Roadside,8. Non-Intersection,1,0,0,0,colorado,County Road,DSO,4700,FERVID ST,RECESS LN,,crashlens_u5p9stw5.csv,1,Curb,Curb,NEAR,,,,FALSE,,S01,1,Southwest,Out of Control,Passenger Car/Passenger Van,25,50,30,Speeding,Aggressive Driving,19,M,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
1261059,1/7/2025,2025,0637,O,0,0,0,0,9. Fixed Object - Off Road,4. Snow,1. Dawn,3. Snow,3. Grade - Straight,"1. Two-Way, Not Divided",1. Not at Intersection,FLINTWOOD RD,NonVDOT secondary,,,-104.681378,39.441631,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,3. Utility Pole,4. Roadside,8. Non-Intersection,1,0,0,0,colorado,County Road,DSO,4700,FLINTWOOD RD,DEMOCRAT RD,,crashlens_u5p9stw5.csv,1,Light Pole/Utility Pole,Light Pole/Utility Pole,0.27MS,,,,FALSE,,N01,1,North,Going Straight,SUV,45,40,40,Over-Correcting/ Over-Steering,Driver Inexperience,22,F,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
1261087,1/7/2025,2025,1811,O,0,0,0,0,2. Angle,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,2. Wet,1. Straight - Level,"1. Two-Way, Not Divided",4. Four Approaches,W HIGHLANDS RANCH PKWY,NonVDOT secondary,KENDRICK CASTILLO WAY & W HIGHLANDS RANCH PKWY,,-105.005,39.54622,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,9. Within Intersection,2,0,0,0,colorado,County Road,DSO,4700,W HIGHLANDS RANCH PKWY,KENDRICK CASTILLO WAY,,crashlens_u5p9stw5.csv,2,Front to Front,Approach Turn,AT,,,,FALSE,,W02,3,Southwest,Going Straight,SUV,45,15,15,Failed to Stop at Signal,Looked/Did Not See,31,F,Northeast,Making Left Turn,Passenger Car/Passenger Van,45,15,15,No Contributing Action,No Apparent Contributing Factor,44,F,,,,,,,,,,,,,,,,
