CUID,System Code,Rd_Number,Rd_Section,City_Street,Crash Date,Crash Time,Agency Id,City,County,Latitude,Longitude,Location 1,Link,Location 2,Location,Road Description,First HE,Second HE,Third HE,Fourth HE,MHE,Crash Type,Approach Overtaking Turn,Wild Animal,Number Killed,Number Injured,Injury 00,Injury 01,Injury 02,Injury 03,Injury 04,Total Vehicles,Secondary Crash,Construction Zone,School Zone,Road Contour Curves,Road Contour Grade,Road Condition,Lighting Conditions,Weather Condition,Weather Condition 2,Lane Position,TU-1 Direction,TU-2 Direction,TU-1 Movement,TU-2 Movement,TU-1 Type,TU-2 Type,TU-1 Special Function,TU-2 Special Function,TU-1 Autonomous Vehicle,TU-2 Autonomous Vehicle,TU-1 Hit And Run,TU-2 Hit And Run,TU-1 Speed Limit,TU-2 Speed Limit,TU-1 Estimated Speed,TU-2 Estimated Speed,TU-1 Speed,TU-2 Speed,TU-1 Driver Action,TU-2 Driver Action,TU-1 Human Contributing Factor,TU-2 Human Contributing Factor,TU-1 Age,TU-2 Age,TU-1 Sex ,TU-2 Sex,TU-1 Safety System Available ,TU-2 Safety System Available ,TU-1 Safety restraint Use,TU-2 Safety restraint Use,TU-1 Safety Helmet,TU-2  Safety Helmet,TU-1 Alcohol Suspected,TU-2 Alcohol Suspected,TU-1  Marijuana Suspected,TU-2 Marijuana Suspected,TU-1 Other Drugs Suspected ,TU-2 Other Drugs Suspected ,TU-1 NM Direction,TU-2 NM Direction,TU-1 NM Movement,TU-2 NM Movement,TU-1 NM Facility Available,TU-2 NM Facility Available,TU-1 NM Location ,TU-2 NM Location ,TU-1 NM Type,TU-2 NM Type,TU-1 NM Age ,TU-2 NM Age ,TU-1 NM Sex ,TU-2 NM Sex ,TU-1 NM Action ,TU-2 NM Action ,TU-1 NM Human Contributing Factor ,TU-2 NM Human Contributing Factor ,TU-1 NM Safety Helmet ,TU-2 NM Safety Helmet ,TU-1 NM Alcohol Suspected ,TU-2 NM Alcohol Suspected ,TU-1 NM Marijuana Suspected ,TU-2 NM Marijuana Suspected ,TU-1 NM Other Drugs Suspected ,TU-2 NM Other Drugs Suspected ,Record Status,Processing Status,Last Updated
306564,Interstate Highway,025A,183.000,,1/1/2022,02:51:00,CSP,,DOUGLAS,39.39625,-104.86039,I-25,AT,MM 183,Ran off right side,Non-Intersection,Sign,,,,Sign,Sign,Not Applicable,,0,1,0,0,1,0,0,1,FALSE,FALSE,FALSE,Straight,Downhill,Snowy,Dark – Unlighted,Snow,,S02,South,,Going Straight,,Passenger Car/Passenger Van,,No Special Function,,No Automation,,FALSE,FALSE,65,0,45,0,45,0,Too Fast for Conditions,,Driver Unfamiliar With Area,,19,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Apr 27 2023  5:43PM
189445,County Road,4700,HESSR,HEIRL,1/1/2022,03:08:00,DSO,,DOUGLAS,39.50008,-104.82266,HESS RD E,E/O,HEIRLOOM PKWY,Vehicle crossed center median into opposing lanes,Non-Intersection,Front to Side,Guardrail End,,,Side to Side-Opposite Direction,Sideswipe Opposite Direction,Not Applicable,,0,1,1,1,0,0,0,2,FALSE,FALSE,FALSE,Curve Left,Level,Icy,Daylight,Clear,,W01,East,West,Out of Control,Going Straight,SUV,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,50,50,50,25,50,25,Too Fast for Conditions,No Contributing Action,No Apparent Contributing Factor,No Apparent Contributing Factor,26,61,M,F,,,,,,,No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Mar 14 2024  3:12PM
189494,County Road,4700,OSWEG,OSWEG,1/1/2022,03:40:00,DSO,,DOUGLAS,,,PEORIA ST S,AT,OSWEGO ST S,On Roadway,At Intersection,Front to Side,,,,Front to Side,Broadside,Not Applicable,,0,0,3,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Icy,Daylight,Clear,,W01,West,South,Going Straight,Going Straight,Passenger Car/Passenger Van,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,25,35,10,30,10,30,Too Fast for Conditions,No Contributing Action,No Apparent Contributing Factor,No Apparent Contributing Factor,38,56,F,F,,,,,,,No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,May 26 2022  3:24PM
306524,Interstate Highway,025A,179.932,,1/1/2022,07:38:00,CSP,,DOUGLAS,39.35336,-104.87071,I-25,AT,MM 179.932,Ran off right side,Non-Intersection,Sign,,,,Sign,Sign,Not Applicable,,0,0,3,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Level,Snowy W/Visible Icy Road Treatment,Daylight,Snow,,S01,South,,Going Straight,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,45,0,65,0,0,0,Too Fast for Conditions,,No Apparent Contributing Factor,,48,,F,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Mar 16 2023  7:51PM
195376,City Street,1038,RIDGE,WOODS,1/1/2022,09:16:00,PPD,PARKER,DOUGLAS,39.49709,-104.74373,S RIDGEVIEW LN,00050FN,WOODSIDE LN,Ran off left side,Non-Intersection,Fence,,,,Fence,Fence,Not Applicable,,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Downhill,Snowy,Dark – Unlighted,Snow,,S01,South,,Out of Control,,Unknown ,,,,Unknown,,TRUE,FALSE,25,0,35,0,0,0,Too Fast for Conditions,,Aggressive Driving,,0,,,,,,Unknown,,N/A (Cars/Trucks),,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 29 2022  7:02AM
192255,Interstate Highway,025A,184.30,,1/1/2022,10:15:00,CSP,,DOUGLAS,39.41383,-104.86863,I-25,AT,MM 184.30,Ran off left side,Non-Intersection,Concrete Highway Barrier,Other Non-Collision,,,Concrete Highway Barrier,Concrete Highway Barrier,Not Applicable,,0,1,0,1,0,0,0,1,FALSE,FALSE,FALSE,Straight,Level,Snowy,Daylight,Snow,,N03,North,,Out of Control,,"Medium/Heavy Trucks, GVWR/GCWR 16,001 or over",,No Special Function,,No Automation,,FALSE,FALSE,65,0,60,0,35,0,Too Fast for Conditions,,No Apparent Contributing Factor,,40,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,May 17 2022  6:12PM
306531,State Highway,083A,32.600,,1/1/2022,10:25:00,CSP,,DOUGLAS,39.16068,-104.74963,HWY 83,AT,MM 32.6,Ran off right side,Non-Intersection,Light Pole/Utility Pole,,,,Light Pole/Utility Pole,Light Pole/Utility Pole,Not Applicable,,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Level,Icy,Daylight,Snow,,N01,North,,Out of Control,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,65,0,35,0,35,0,Too Fast for Conditions,,No Apparent Contributing Factor,,55,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Other Method,,Marijuana Not Suspected,,No - Other Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Apr 28 2023  9:09PM
188692,State Highway,470B,5.27,,1/1/2022,10:40:00,CSP,,DOUGLAS,39.55289,-104.77519,E-470,AT,MM 5.27,Ran off left side,Non-Intersection,Guardrail Face,,,,Guardrail Face,Guardrail Face,Not Applicable,,0,1,1,0,1,0,0,1,FALSE,FALSE,FALSE,Curve Right,Level,Snowy,Daylight,Snow,,SLS,South,,Out of Control,,Passenger Car/Passenger Van,,No Special Function,,No Automation,,FALSE,FALSE,75,0,65,0,65,0,Too Fast for Conditions,,No Apparent Contributing Factor,,34,,F,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,May 25 2022  7:55PM
196067,City Street,0817,RIDGE,LINCO,1/1/2022,11:05:00,LNTRPD,LONE TREE,DOUGLAS,,,RIDGEGATE PKWY,AT,LINCOLN AVE ,Ran off left side,At Intersection,Curb,,,,Curb,Curb,Not Applicable,,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Right,Level,Icy,Daylight,Snow,,S01,South,,Out of Control,,Passenger Car/Passenger Van,,No Special Function,,No Automation,,FALSE,FALSE,0,0,0,0,0,0,Too Fast for Conditions,,No Apparent Contributing Factor,,25,,M,,Shoulder and Lap Belt,,Unknown,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jun  1 2022  7:26PM
196082,Interstate Highway,025A,192.99,O,1/1/2022,11:38:00,LNTRPD,LONE TREE,DOUGLAS,39.53619,-104.8663,LINCOLN AVE,AT,I-25 NB OFF RAMP,On Roadway,At Intersection,Front to Side,,,,Front to Side,Broadside,Not Applicable,,0,3,2,2,1,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Slushy,Daylight,Snow,,E01,East,North,Going Straight,Making Left Turn,Passenger Car/Passenger Van,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,45,45,20,10,20,10,Careless Driving ,No Contributing Action,,No Apparent Contributing Factor,62,53,F,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Oct  9 2023  9:12PM
