CUID,System Code,Rd_Number,Rd_Section,City_Street,Crash Date,Crash Time,Agency Id,City,County,Latitude,Longitude,Location 1,Link,Location 2,Location,Road Description,First HE,Second HE,Third HE,Fourth HE,MHE,Crash Type,Approach Overtaking Turn,Wild Animal,Number Killed,Number Injured,Injury 00,Injury 01,Injury 02,Injury 03,Injury 04,Total Vehicles,Secondary Crash,Construction Zone,School Zone,Road Contour Curves,Road Contour Grade,Road Condition,Lighting Conditions,Weather Condition,Weather Condition 2,Lane Position,TU-1 Direction,TU-2 Direction,TU-1 Movement,TU-2 Movement,TU-1 Type,TU-2 Type,TU-1 Special Function,TU-2 Special Function,TU-1 Autonomous Vehicle,TU-2 Autonomous Vehicle,TU-1 Hit And Run,TU-2 Hit And Run,TU-1 Speed Limit,TU-2 Speed Limit,TU-1 Estimated Speed,TU-2 Estimated Speed,TU-1 Speed,TU-2 Speed,TU-1 Driver Action,TU-2 Driver Action,TU-1 Human Contributing Factor,TU-2 Human Contributing Factor,TU-1 Age,TU-2 Age,TU-1 Sex ,TU-2 Sex,TU-1 Safety System Available ,TU-2 Safety System Available ,TU-1 Safety restraint Use,TU-2 Safety restraint Use,TU-1 Safety Helmet,TU-2  Safety Helmet,TU-1 Alcohol Suspected,TU-2 Alcohol Suspected,TU-1  Marijuana Suspected,TU-2 Marijuana Suspected,TU-1 Other Drugs Suspected ,TU-2 Other Drugs Suspected ,TU-1 NM Direction,TU-2 NM Direction,TU-1 NM Movement,TU-2 NM Movement,TU-1 NM Facility Available,TU-2 NM Facility Available,TU-1 NM Location ,TU-2 NM Location ,TU-1 NM Type,TU-2 NM Type,TU-1 NM Age ,TU-2 NM Age ,TU-1 NM Sex ,TU-2 NM Sex ,TU-1 NM Action ,TU-2 NM Action ,TU-1 NM Human Contributing Factor ,TU-2 NM Human Contributing Factor ,TU-1 NM Safety Helmet ,TU-2 NM Safety Helmet ,TU-1 NM Alcohol Suspected ,TU-2 NM Alcohol Suspected ,TU-1 NM Marijuana Suspected ,TU-2 NM Marijuana Suspected ,TU-1 NM Other Drugs Suspected ,TU-2 NM Other Drugs Suspected ,Record Status,Processing Status,Last Updated
41174,Interstate Highway,025A,190,,1/1/2021,01:03:00,CSP,,DOUGLAS,39.493766,-104.873376,I-25,AT,MM 190,On Roadway,Non-Intersection,Front to Rear,Sign,,,Front to Rear,Rear-End,Not Applicable,,0,1,2,1,0,0,0,2,FALSE,FALSE,FALSE,,,Dry,Dark – Unlighted,Clear,,,North,North,Going Straight,Going Straight,SUV,SUV,,,,,FALSE,FALSE,75,75,65,65,0,0,Careless Driving ,No Contributing Action,"DUI, DWAI, DUID",No Apparent Contributing Factor,30,18,M,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),Yes - Preliminary Breath Test,,Marijuana Not Suspected,Marijuana Not Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Mar 30 2021  7:04PM
40424,Interstate Highway,025A,187,,1/1/2021,07:00:00,CSP,,DOUGLAS,39.450537,-104.875491,I-25,AT,MM 187,On Roadway,Non-Intersection,Wild Animal,,,,Wild Animal,Wild Animal,Not Applicable,DEER,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,,,Dry,Daylight,Clear,,,South,,Going Straight,,Pickup Truck/Utility Van,,,,,,FALSE,FALSE,75,0,75,0,0,0,No Contributing Action,,No Apparent Contributing Factor,,33,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,,,Marijuana Not Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Mar 30 2021  5:30PM
41299,County Road,4700,PERRY,TOMAH,1/1/2021,17:15:00,DSO,,DOUGLAS,,,PERRY PARK RD S,1MS,TOMAH RD,On Roadway,Non-Intersection,Domestic Animal,,,,Domestic Animal,Domestic Animal,Not Applicable,,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,,,Dry,Dark – Unlighted,Clear,,,North,,Going Straight,,SUV,,,,,,FALSE,FALSE,50,0,45,0,0,0,No Contributing Action,,No Apparent Contributing Factor,,68,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,,,Marijuana Not Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Apr  2 2021  1:35PM
45800,City Street,0817,LINCO,LONET,1/1/2021,17:56:00,LNTRPD,LONE TREE,DOUGLAS,39.536422,-104.898696,LINCOLN AVE,00974FE,LONE TREE PKWY,Ran off left side,Non-Intersection,Curb,Tree,,,Curb,Curb,Not Applicable,,0,1,0,0,0,1,0,1,FALSE,FALSE,FALSE,,,Dry,Dark – Lighted,Clear,,,West,,Going Straight,,SUV,,,,,,FALSE,FALSE,45,0,45,0,0,0,No Contributing Action,,Medical,,21,,F,,Shoulder and Lap Belt,,Not Used,,N/A (Cars/Trucks),,,,Marijuana Not Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Dec 27 2022  4:09PM
41793,County Road,4700,BROAD,COUNT,1/1/2021,19:15:00,DSO,,DOUGLAS,39.56611,-104.98853,BROADWAY S,AT,COUNTY LINE RD W,On Roadway,At Intersection,Front to Side,,,,Front to Side,Approach Turn,Approach Turn,,0,0,3,0,0,0,0,2,FALSE,FALSE,FALSE,,,Dry,Dark – Lighted,Clear,,,South,North,Going Straight,Making Left Turn,Passenger Car/Passenger Van,Pickup Truck/Utility Van,,,,,FALSE,FALSE,45,45,30,30,0,0,Careless Driving ,No Contributing Action,Asleep or Fatigued,No Apparent Contributing Factor,60,21,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),Unknown,,Unknown,Marijuana Not Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Mar 31 2021  9:39PM
45742,City Street,0817,ACRES,PARKM,1/2/2021,08:50:00,LNTRPD,LONE TREE,DOUGLAS,,,ACRES GREEN DR,AT,PARK MEADOWS DR,On Roadway,At Intersection,Front to Side,Sign,,,Sign,Broadside,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,,,Dry,Daylight,Clear,,,South,East,Going Straight,Going Straight,Pickup Truck/Utility Van,Passenger Car/Passenger Van,,,,,FALSE,FALSE,35,35,35,35,0,0,Failed to Stop at Signal,No Contributing Action,No Apparent Contributing Factor,No Apparent Contributing Factor,56,37,M,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),,,Marijuana Not Suspected,Marijuana Not Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jul 23 2021  7:45PM
45610,City Street,1038,MAINS,PARKE,1/2/2021,12:37:00,PPD,PARKER,DOUGLAS,39.51866,-104.76393,MAINSTREET E,AT,19400 BLK E,On Roadway,Driveway Access Related,Front to Side,,,,Front to Side,Broadside,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,,,Dry,Daylight,Clear,,,North,East,Making Right Turn,Going Straight,Pickup Truck/Utility Van,Passenger Car/Passenger Van,,,,,FALSE,FALSE,15,25,5,20,0,0,Careless Driving ,No Contributing Action,Driver Unfamiliar With Area,No Apparent Contributing Factor,46,17,M,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),,,Marijuana Not Suspected,Marijuana Not Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Apr  6 2021  4:15PM
41263,County Road,4700,PINED,PONDE,1/2/2021,12:40:00,DSO,,DOUGLAS,,,PINE DR,AT,PONDEROSA DR,On Roadway,At Intersection,Front to Side,,,,Front to Side,Broadside,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,,,Dry,Daylight,Clear,,,West,South,Going Straight,Going Straight,Passenger Car/Passenger Van,SUV,,,,,FALSE,FALSE,30,40,5,3,0,0,No Contributing Action,No Contributing Action,No Apparent Contributing Factor,No Apparent Contributing Factor,75,52,M,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),,,Marijuana Not Suspected,Marijuana Not Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Apr  2 2021  2:02PM
41518,Interstate Highway,025A,170,,1/2/2021,12:55:00,CSP,,DOUGLAS,39.217343,-104.87699,I-25,AT,MM 170,On Roadway,Non-Intersection,Front to Rear,Front to Rear,Front to Rear,,Front to Rear,Rear-End,Not Applicable,,0,2,12,2,0,0,0,4,FALSE,TRUE,FALSE,,,Dry,Daylight,Clear,,,South,South,Slowing,Stopped in Traffic,SUV,SUV,,,,,FALSE,FALSE,60,60,30,0,0,0,Followed Too Closely,No Contributing Action,No Apparent Contributing Factor,No Apparent Contributing Factor,32,28,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),,,Marijuana Not Suspected,Marijuana Not Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Mar 30 2021  2:40PM
40786,Interstate Highway,025A,170.50,,1/2/2021,13:15:00,CSP,,DOUGLAS,39.224136,-104.878452,I-25,02640FN,MM 170,On Roadway,Non-Intersection,Front to Rear,Front to Rear,,,Front to Rear,Rear-End,Not Applicable,,0,0,5,0,0,0,0,3,FALSE,TRUE,FALSE,,,Dry,Daylight,Clear,,,South,South,Going Straight,Stopped in Traffic,Passenger Car/Passenger Van,Passenger Car/Passenger Van,,,,,FALSE,FALSE,55,55,55,0,0,0,Followed Too Closely,No Contributing Action,No Apparent Contributing Factor,No Apparent Contributing Factor,23,23,F,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),,,Marijuana Not Suspected,Marijuana Not Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Mar 30 2021  2:45PM
