CRASH DATETIME,DAY OF WEEK CODE,DAY OF WEEK DESCRIPTION,CRASH CLASSIFICATION CODE,CRASH CLASSIFICATION DESCRIPTION,COLLISION ON PRIVATE PROPERTY,PEDESTRIAN INVOLVED,MANNER OF IMPACT CODE,MANNER OF IMPACT DESCRIPTION,ALCOHOL INVOLVED,DRUG INVOLVED,ROAD SURFACE CODE,ROAD SURFACE DESCRIPTION,LIGHTING CONDITION CODE,LIGHTING CONDITION DESCRIPTION,WEATHER 1 CODE,WEATHER 1 DESCRIPTION,WEATHER 2 CODE,WEATHER 2 DESCRIPTION,SEATBELT USED,MOTORCYCLE INVOLVED,MOTORCYCLE HELMET USED,BICYCLED INVOLVED,BICYCLE HELMET USED,LATITUDE,LONGITUDE,PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,SCHOOL BUS INVOLVED CODE,SCHOOL BUS INVOLVED DESCRIPTION,WORK ZONE,WORK ZONE LOCATION CODE,WORK ZONE LOCATION DESCRIPTION,WORK ZONE TYPE CODE,WORK ZONE TYPE DESCRIPTION,WORKERS PRESENT,the_geom,COUNTY CODE,COUNTY NAME,YEAR
2009 Jul 29 04:19:00 PM,4,Wednesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.707201,-75.0898795,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.089879500285 38.707200999933),S,Sussex,"2,009"
2016 Jan 16 05:01:00 AM,7,Saturday,1,Non-Reportable,N,N,0,Not a collision between two vehicles,N,N,2,Wet,5,Dark-Not Lighted,4,Rain,NA,NA,Y,N,N,N,N,38.80731,-75.43859,17,Animal in Roadway - Deer,0,No,N,NA,NA,NA,NA,N,POINT (-75.438590000337 38.807309999824),S,Sussex,"2,016"
2010 Oct 27 11:15:00 AM,4,Wednesday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,2,Wet,1,Daylight,4,Rain,NA,NA,Y,N,N,N,N,39.78596,-75.54612,7,Improper lane change,0,No,N,NA,NA,NA,NA,N,POINT (-75.546119999932 39.785960000111),N,New Castle,"2,010"
2010 Jun 08 01:11:00 PM,3,Tuesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.76112,-75.52121,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.521210000073 39.761120000186),N,New Castle,"2,010"
2011 Sep 28 07:03:00 PM,4,Wednesday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.46089,-75.38379,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.383790000296 38.460889999731),S,Sussex,"2,011"
2015 Dec 12 05:04:00 PM,7,Saturday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,Y,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.07716,-75.48617,10,Driving under the influence,0,No,N,NA,NA,NA,NA,N,POINT (-75.48616999969 39.077159999912),K,Kent,"2,015"
2015 Oct 18 06:14:00 AM,1,Sunday,1,Non-Reportable,Y,N,0,Not a collision between two vehicles,N,N,1,Dry,4,Dark-Lighted,1,Clear,NA,NA,Y,N,N,N,N,39.67556,-75.74914,9,Made improper turn,0,No,N,NA,NA,NA,NA,N,POINT (-75.749139999745 39.675559999728),N,New Castle,"2,015"
2015 Mar 02 03:22:00 PM,2,Monday,3,Personal Injury Crash,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.7341,-75.1375,2,Failed to yield right of way,0,No,N,NA,NA,NA,NA,N,POINT (-75.137500000183 38.734099999954),S,Sussex,"2,015"
2009 Dec 31 01:43:00 AM,4,Wednesday,1,Non-Reportable,N,N,99,Unknown,N,N,1,Dry,4,Dark-Lighted,1,Clear,NA,NA,Y,N,N,N,N,39.68976,-75.59682,16,Mechanical defects,0,No,N,NA,NA,NA,NA,N,POINT (-75.596820000083 39.689760000249),N,New Castle,"2,009"
2015 Jun 25 04:44:00 PM,5,Thursday,2,Property Damage Only,N,N,1,Front to rear,Y,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.64217,-75.73019,10,Driving under the influence,0,No,N,NA,NA,NA,NA,N,POINT (-75.730190000199 39.642170000041),N,New Castle,"2,015"
2015 Oct 20 11:03:00 AM,3,Tuesday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,2,Dawn,1,Clear,NA,NA,Y,N,N,N,N,39.0933,-75.50403,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.50402999964 39.09330000017),K,Kent,"2,015"
2015 Aug 21 03:02:00 PM,6,Friday,2,Property Damage Only,N,N,5,"Sideswipe, opposite direction",N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.67847,-75.62809,12,Driving in a careless or reckless manner,0,No,N,NA,NA,NA,NA,N,POINT (-75.628090000289 39.678469999683),N,New Castle,"2,015"
2014 Sep 08 01:08:00 PM,2,Monday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.70697,-75.56671,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.566709999794 39.70696999997),N,New Castle,"2,014"
2015 Aug 14 08:16:00 PM,6,Friday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.69969,-75.61106,7,Improper lane change,0,No,N,NA,NA,NA,NA,N,POINT (-75.611059999644 39.699689999791),N,New Castle,"2,015"
2009 Sep 11 01:23:00 PM,6,Friday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,2,Wet,1,Daylight,4,Rain,NA,NA,Y,N,N,N,N,39.6472746,-75.7389006,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.738900599691 39.647274599925),N,New Castle,"2,009"
2015 Jan 17 01:53:00 PM,7,Saturday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,39.75291,-75.53502,99,Unknown,0,No,N,NA,NA,NA,NA,N,POINT (-75.535020000362 39.752909999695),N,New Castle,"2,015"
2010 Jul 20 06:00:00 PM,3,Tuesday,2,Property Damage Only,N,N,3,Angle,N,N,2,Wet,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,39.73805,-75.55292,7,Improper lane change,0,No,N,NA,NA,NA,NA,N,POINT (-75.552919999596 39.738050000069),N,New Castle,"2,010"
2014 Oct 02 10:32:00 PM,5,Thursday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,3,Dusk,2,Cloudy,NA,NA,Y,N,N,N,N,39.68272,-75.68819,8,Following too close,0,No,N,NA,NA,NA,NA,N,POINT (-75.688190000319 39.682720000034),N,New Castle,"2,014"
2015 Apr 12 06:04:00 PM,1,Sunday,1,Non-Reportable,Y,N,7,Rear to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.83301,-75.53935,14,Improper backing,0,No,N,NA,NA,NA,NA,N,POINT (-75.539350000405 39.833010000042),N,New Castle,"2,015"
